active_ingredient,medicine_count,drug_class,method,top_sub_category
adrenochrome monosemicarbazone,10,Haemostatic (topical/systemic),llm,Systemic Heamostatics
l-alanyl-l-glutamine,10,Amino acid / nutritional,llm,Neurotonics Other Miscellaneous Drugs
levobunolol,10,Beta blocker,stem,Miotics And Antiglaucoma Preparations
betaxolol,10,Beta blocker,lookup,Miotics And Antiglaucoma Preparations
zinc gluconate,10,Mineral / electrolyte supplement,llm,Antidotes
benzoxonium chloride,10,Antiseptic / disinfectant,llm,Anaesthetics Local
bupivacaine,10,Local anaesthetic,lookup,Anaesthetics Local
nalbuphine,10,Opioid analgesic,lookup,Narcotics
pethidine,10,Opioid analgesic,lookup,Narcotics
collagen peptide,10,SYSADOA (osteoarthritis),llm,Products For Treatment Of Osteoarthritis
sodium hyaluronate,10,Ocular lubricant,lookup,Products For Treatment Of Osteoarthritis
human hepatitis b immunoglobulin,10,Immunoglobulin / antiserum,llm,Specific Immunoglobulins Antiviral
isosorbide dinitrate,9,Nitrate vasodilator,lookup,Nitrites And Nitrates
docusate,9,Stool softener,llm,Softners Emollients
calcium dobesilate,9,Local haemorrhoid preparation,lookup,Softners Emollients
degarelix,9,Antineoplastic - hormonal,llm,Antigonadotrphin Releasing Hormones
buserelin,9,Antineoplastic - hormonal,llm,Gonadotrophin Releasing Hormones Not Used As Cytostatics
safinamide,9,Dopaminergic anti-parkinson,lookup,Anti Parkinson Drugs
entacapone,9,Dopaminergic anti-parkinson,lookup,Anti Parkinson Drugs
selegiline,9,Dopaminergic anti-parkinson,lookup,Anti Parkinson Drugs
benserazide,9,Dopaminergic anti-parkinson,lookup,Anti Parkinson Drugs
piribedil,9,Dopamine agonist (anti-parkinson),llm,Anti Parkinson Drugs
zinc sulphate monohydrate,9,Mineral / electrolyte supplement,llm,Ocular Anti Allergics Decongestants Antiseptics
difluprednate,9,Corticosteroid,lookup,Ophthalmological Corticosteroids
pancuronium,9,Neuromuscular blocking agent,llm,Muscle Relaxants Peripherally Acting
cisatracurium,9,Neuromuscular blocking agent,llm,Muscle Relaxants Peripherally Acting
calcium polystyrene sulphonate,9,Potassium binder,lookup,All Other Urological Products
thymosin alpha,8,Immunostimulant,llm,Hiv Antivirals
stavudine,8,,unmapped,Hiv Antivirals
dolutegravir,8,Antiretroviral,lookup,Hiv Antivirals
bendamustine,8,Cytotoxic chemotherapy,llm,Alkylating Agents
melphalan,8,Cytotoxic chemotherapy,llm,Alkylating Agents
exemestane,8,Aromatase inhibitor,lookup,Cytostatic Hormone Antagonists
enzalutamide,8,Antineoplastic - hormonal,llm,Cytostatic Hormone Antagonists
interferon beta-1a,8,Interferon,llm,Interferons
interferon alpha 2a,8,Interferon,llm,Interferons
pegylated interferon alpha 2a,8,Interferon,llm,Interferons
rasburicase,8,Recombinant urate oxidase,llm,Detoxifying Agents For Antineoplastic Treatment
hydroxyethyl starch,8,Plasma volume expander,llm,Dextrans
dextran 40,8,Plasma volume expander,llm,Dextrans
allium cepa,8,Herbal / traditional extract,llm,Heparins
recombinant human epidermal growth factor,8,Growth factor (topical/systemic),llm,Growth Hormones
zinc oxide,8,Mineral / electrolyte supplement,llm,Antidotes
cetilistat,8,Lipase inhibitor (anti-obesity),llm,Antiobesity Preparations Excluding Dietetics
benzonatate,8,Antitussive,llm,Antitussives Without Codeine
salmonella typhi vaccine,8,Vaccine,llm,All Other Vaccines
rubella vaccine,8,Vaccine,llm,Combination Of Vaccines
recombinant,8,Vaccine,llm,Pure Vaccines
freeze-dried live attenuated hepatitis a vaccine,8,Vaccine,llm,Pure Vaccines
nicotinic acid,8,Other lipid-lowering,lookup,B Complex
idebenone,8,Nootropic / neurotrophic,llm,Modern Anti Oxidants
pegaspargase,7,Cytotoxic chemotherapy,llm,Antineoplastic Antibiotics
idarubicin,7,Cytotoxic chemotherapy,llm,Antineoplastic Antibiotics
hyaluronidase,7,Enzyme (spreading factor),llm,Hyaluronidase
phenolphthalein,7,Stimulant laxative,llm,Contact Laxatives
triptorelin,7,Antineoplastic - hormonal,llm,Gonadotrophin Releasing Hormones Not Used As Cytostatics
dalfampridine,7,Neurodegenerative disease agent,llm,All Other Cns Drugs
naloxone,7,Opioid antagonist,lookup,Drugs Used In Opioid Dependence
naltrexone,7,Opioid antagonist,lookup,Drugs Used In Opioid Dependence
n-butyl-2-cyanoacrylate,7,Tissue adhesive,llm,All Other Non Therapeutic Products
penicillamine,7,Antidote / chelator,lookup,Specific Anti Rheumatic Agents Systemic
haemophilus type b conjugate vaccine,7,Vaccine,llm,All Other Vaccines
insulin degludec,6,Insulin,lookup,Human Insulins And Analogues
hydroxyquinolines,6,Amoebicide,llm,Amebicides
praziquantel,6,Anthelmintic,lookup,Schistosomicides
carbazochrome,6,Haemostatic (topical/systemic),llm,Antagonists Antidotes To Anticoagulants
apixaban,6,Direct oral anticoagulant,lookup,Direct Factor Xa Inhibitors
policosanol,6,Lipid-lowering (nicotinic acid derivative),llm,All Other Cholesterol Triglyceride Regulators
tibolone,6,Tissue-selective estrogen (STEAR),llm,Other Sex Hormones And Similar Products
methimazole,6,Antithyroid,lookup,Anti Thyroid Preparation
zolmitriptan,6,Triptan (5-HT1B/1D agonist),lookup,Anti Migraine Preparations
acamprosate,6,Anti-craving agent (alcohol dependence),llm,Drugs Used In Alcohol Dependence
cyclopentolate,6,Mydriatic / cycloplegic,llm,Other Opthalmologicals
zinc carnosine,6,Mucosal protectant,llm,Antidotes
lanthanum carbonate,6,Phosphate binder,lookup,Hyperkalaemia Hyperphosphataemia Products
iohexol,6,Radiographic contrast medium,llm,Low Osmolar Angio Urography
acetic acid,6,Antiseptic (otic),llm,Otological Anti Infectives Corticosteroid Combinations
etomidate,6,General anaesthetic,llm,Anaesthetics General Injectables
suxamethonium,6,Neuromuscular blocking agent,llm,Muscle Relaxants Peripherally Acting
iguratimod,6,DMARD (small molecule),llm,Products For Treatment Of Rheumatoid Arthritis
baricitinib,6,Immunosuppressant / DMARD,lookup,Products For Treatment Of Rheumatoid Arthritis
infliximab,6,Biologic DMARD (anti-TNF / interleukin),lookup,Products For Treatment Of Rheumatoid Arthritis
univestin,6,SYSADOA (osteoarthritis),llm,Products For Treatment Of Rheumatoid Arthritis
etanercept,6,Biologic DMARD (anti-TNF / interleukin),lookup,Specific Anti Rheumatic Agents Systemic
evening primrose oil,6,Herbal / traditional extract,llm,All Other Therapeutic Products
phenazopyridine,6,Urinary analgesic,llm,Urinary Anti Infectives And Antiseptics
biotin,6,Vitamin B7 (biotin),llm,B Complex
docosahexaenoic acid,6,Omega-3 fatty acid,llm,Other Nutrients
phenylalanine,6,Amino acid / nutritional,llm,Other Nutrients
ribavirin,5,Antiviral (nucleoside analogue),lookup,Antivirals Excluding Hiv Products
vitamin b2,5,Vitamin B2 (riboflavin),llm,Modern Anti Oxidants
alprostadil,5,Prostaglandin E1 (vasodilator),llm,All Other Cardiac Preparations
halobetasol,5,Corticosteroid,lookup,Plain Topical Corticosteroids
desonide,5,Corticosteroid,lookup,Plain Topical Corticosteroids
saccharomyces boulardii,5,Probiotic,llm,All Other Antidiarrhoeals
balsalazide,5,Aminosalicylate,lookup,Intestinal Anti Inflammatory Agents
lysine,5,Amino acid / nutritional,llm,Other Vitamins
dibucaine,5,Local anaesthetic,stem,Anaesthetics Local
zinc chloride,5,Mineral / electrolyte supplement,llm,Anaesthetics Local
pramoxine,5,Local anaesthetic,llm,Anaesthetics Local
inactivated japanese encephalitis virus protein,5,Vaccine,llm,All Other Vaccines
equine rabies immunoglobulin,5,Immunoglobulin / antiserum,llm,Antitoxic Sera
onabotulinumtoxina,5,Botulinum toxin,llm,Specific Immunoglobulins Antibacterial
rotavirus vaccine (live attenuated,5,Vaccine,llm,Specific Immunoglobulins Antiviral
oral),5,Vaccine,llm,Specific Immunoglobulins Antiviral
magnesium bisglycinate,5,Mineral / electrolyte supplement,llm,Other Mineral Supplements
insulin glulisine,4,Insulin,lookup,Insulin Analogues Rapid
bacterial lysate,4,Herbal / traditional extract,llm,All Other Anti Infectives
procaine,4,Local anaesthetic,stem,Other Anti Parasitic Agents
sodium aminosalicylate,4,,unmapped,Systemic Sulphonamides Excluding Trimethoprim Combinations
sulfamethopyrazine,4,Phenothiazine,stem,Trimethoprim And Similar Formulations
granulocyte colony stimulating factor,4,Colony-stimulating factor,llm,Immunostimulating Agents Excluding Interferons
molgramostim,4,Colony-stimulating factor,llm,Immunostimulating Agents Excluding Interferons
amifostine,4,Radioprotective / detox,llm,Detoxifying Agents For Antineoplastic Treatment
ringer's lactate,4,IV fluid / parenteral nutrition,llm,Electrolyte Solutions
pentosan polysulfate sodium,4,Pentosan (bladder GAG),llm,Other Antithrombotic Agents Blood
valsartan,4,Angiotensin receptor blocker (ARB),lookup,Angiotensin Ii Antagonists Ace Inhibitors
lactobacillus sporogenes,4,Probiotic,llm,Antidiarrhoeal Micro Organisms
sodium tauroglycocholate,4,Bile salt / digestive,llm,Pancreatic Enzymes
ergotamine,4,Ergot alkaloid,lookup,Anti Migraine Preparations
almotriptan,4,Triptan (5-HT1B/1D agonist),lookup,Anti Migraine Preparations
eletriptan,4,Triptan (5-HT1B/1D agonist),lookup,Anti Migraine Preparations
varenicline,4,Smoking cessation aid,llm,Anti Smoking Products
tetrahydrozoline,4,Ocular decongestant,llm,Ocular Anti Allergics Decongestants Antiseptics
epinastine,4,Antihistamine H1 (ocular),lookup,Ocular Anti Allergics Decongestants Antiseptics
fluorescein,4,Diagnostic dye,llm,Opthalmological Diagnostic Agents
zinc acetate,4,Electrolyte / rehydration,lookup,Antidotes
fenfluramine,4,Anorectic (withdrawn/controlled),llm,Antiobesity Preparations Excluding Dietetics
iopromide,4,Radiographic contrast medium,llm,Low Osmolar Angio Urography
polidocanol,4,Sclerosant,llm,Varicose Therapy Systemic
phenylpropanolamine,4,Sympathomimetic (decongestant/anorectic),llm,Antitussives Without Codeine
pseudoephedrine,4,Nasal / systemic decongestant (sympathomimetic),lookup,Antitussives Without Codeine
doxapram,4,Respiratory stimulant,llm,Respiratory Stimulants
purified vi polysaccharide typhoid vaccine,4,Vaccine,llm,All Other Vaccines
diphtheria immune globulin,4,Immunoglobulin / antiserum,llm,Antitoxic Sera
haemophilus influenzae type b capsular polysaccharide,4,Vaccine,llm,Antitoxic Sera
measles vaccine,4,Vaccine,llm,Combination Of Vaccines
pneumococcal 13 valent conjugate vaccine,4,Vaccine,llm,Pure Vaccines
human papillomavirus quadrivalent (types 6,4,Vaccine,llm,Pure Vaccines
and 18) vaccine,4,Vaccine,llm,Pure Vaccines
meningococcal vaccine (group a,4,Vaccine,llm,Pure Vaccines
w-135),4,Vaccine,llm,Pure Vaccines
vi capsular polysaccharide of salmonella typhi,4,Vaccine,llm,Pure Vaccines
varicella vaccine attenuated,4,Vaccine,llm,Pure Vaccines
bacillus calmette-guerin strain,4,Vaccine,llm,Pure Vaccines
human papillomavirus bivalent vaccine,4,Vaccine,llm,Pure Vaccines
polio vaccine,4,Vaccine,llm,Pure Vaccines
hydroxocobalamin,4,Vitamin B12,lookup,B Complex
pyridoxal-5-phasphate,4,Vitamin B6,llm,B Complex
vitamin e,4,Vitamin E,lookup,Modern Anti Oxidants
pantothenic acid,4,Vitamin B5 (pantothenic acid),llm,Modern Anti Oxidants
l-leucine,4,Amino acid / nutritional,llm,Other Vitamins
l-isoleucine,4,Amino acid / nutritional,llm,Other Vitamins
cinacalcet,4,Calcimimetic,llm,Other Vitamins
sodium acid phosphate,4,Mineral / electrolyte supplement,llm,Other Vitamins
alfacalcidol,4,Vitamin D analogue,lookup,Other Vitamins
dehydroemetine,3,Amoebicide,llm,Amebicides
hydralazine,3,Antihypertensive (direct vasodilator),lookup,Nitrites And Nitrates
lactic acid,3,Emollient / keratolytic,llm,Plain Topical Corticosteroids
urea,3,Emollient / keratolytic,llm,Plain Topical Corticosteroids
imiquimod,3,Immune response modifier (topical),llm,Topical Antivirals
live freeze dried lactic acid bacteria and bifidobacteria,3,,unmapped,Intestinal Anti Inflammatory Agents
testosterone propionate,3,Androgen,llm,Androgens Excluding G3 E G3 F
cyproterone,3,Antineoplastic - hormonal,llm,Other Sex Hormones And Similar Products
glucagon,3,Antihypoglycaemic hormone,llm,Glucagon
goserelin acetate,3,Antineoplastic - hormonal,llm,Gonadotrophin Releasing Hormones Not Used As Cytostatics
ranibizumab,3,Monoclonal antibody,stem,Ocular Antineovascularisation Products
iopamidol,3,Radiographic contrast medium,llm,Low Osmolar Angio Urography
tofacitinib,3,Immunosuppressant / DMARD,lookup,Products For Treatment Of Rheumatoid Arthritis
stannous fluoride,3,Mineral / electrolyte supplement,llm,Other Stomatologicals
cetalkonium chloride,3,Antiseptic / disinfectant,llm,Other Stomatologicals
human rabies immunoglobulin,3,Immunoglobulin / antiserum,llm,Antitoxic Sera
mumps virus vaccine,3,Vaccine,llm,Combination Of Vaccines
human gamma globulin,3,Immunoglobulin / antiserum,llm,Homologous Immunologically Active Globulins Intravenous
sodium fluoride,2,Mineral / electrolyte supplement,llm,Other Anti Parasitic Agents
sodium stibogluconate,2,Antiprotozoal (other),lookup,Other Anti Parasitic Agents
sulfadiazine,2,Sulfonamide antibacterial,lookup,Systemic Sulphonamides Excluding Trimethoprim Combinations
nimorazole,2,Nitroimidazole antimicrobial,lookup,Trichomonacides
fosfestrol,2,Antineoplastic - hormonal,llm,Cytostatic Hormones
sargramostim,2,Colony-stimulating factor,llm,Immunostimulating Agents Excluding Interferons
plerixafor,2,Colony-stimulating factor,llm,Immunostimulating Agents Excluding Interferons
carbomer,2,Ocular lubricant,lookup,Antagonists Antidotes To Anticoagulants
low dextrans,2,IV fluid / parenteral nutrition,llm,Dextrans
adapting electrolyte solutions,2,IV fluid / parenteral nutrition,llm,Electrolyte Solutions
deferiprone,2,Antidote / chelator,lookup,Iron Chelating Agents
glycine,2,IV fluid / parenteral nutrition,llm,Irrigating Solutions
invert sugar,2,IV fluid / parenteral nutrition,llm,Standard Solutions
xylitol,2,IV fluid / parenteral nutrition,llm,Standard Solutions
sorbitol solution,2,IV fluid / parenteral nutrition,llm,Standard Solutions
eltrombopag,2,Thrombopoietin receptor agonist,llm,Systemic Heamostatics
menadione sodium bisulfite,2,Vitamin K,llm,Systemic Heamostatics
saroglitazar,2,Dual PPAR agonist,llm,All Other Cholesterol Triglyceride Regulators
triamcinolone,2,Corticosteroid,lookup,Plain Topical Corticosteroids
minoxidil,2,Antihypertensive (direct vasodilator),lookup,Skin Dermal Epidermal Preparations
polycarbophil,2,Bulk-forming laxative,llm,Bulk Producers
lubiprostone,2,Chloride channel activator (laxative),llm,Other Laxatives
atosiban,2,Tocolytic,llm,Other Gynaecological Products
corticotropin,2,ACTH / corticotropin,llm,Acth
ganirelix,2,GnRH antagonist,llm,Antigonadotrphin Releasing Hormones
l-glutamate,2,Amino acid / nutritional,llm,Other Anabolic Agents Systemic
flumazenil,2,Benzodiazepine antagonist,llm,Antidotes
dimercaprol,2,Antidote / chelator,lookup,Antidotes
fructo oligosaccharide,2,Prebiotic,llm,Sweetener
poractant alfa,2,Pulmonary surfactant,llm,Lung Surfactants
seratrodast,2,Thromboxane A2 antagonist,llm,Pde4 Inhibitors For Asthma Copd
tocoferol,2,Vitamin E,llm,All Other Therapeutic Products
zinc,2,Antioxidant / micronutrient,lookup,Calcium Products
calcium gluconate,2,Calcium supplement,lookup,Calcium Products
magnesium carbonate,2,Mineral / electrolyte supplement,llm,Other Mineral Supplements
human premix,1,Insulin,llm,Human Insulin Premix
insulin detemir,1,Insulin,lookup,Insulin Analogues Basal
co-trimoxazole,1,Sulfonamide antibacterial,lookup,Systemic Sulphonamides Excluding Trimethoprim Combinations
oxytetracycline,1,Tetracycline,stem,Systemic Sulphonamides Excluding Trimethoprim Combinations
vitamin b3,1,Vitamin B3 (niacin),llm,Systemic Sulphonamides Excluding Trimethoprim Combinations
itolizumab,1,Monoclonal antibody,stem,Anti Tnf Products
deferoxamine,1,Iron chelator,llm,Iron Chelating Agents
saline,1,IV fluid / parenteral nutrition,llm,Irrigating Solutions
liver extract,1,Herbal / traditional extract,llm,Liver Extracts And Combinations With B12
liver fraction 2 derived from fresh liver 01,1,Herbal / traditional extract,llm,Liver Extracts And Combinations With B12
fibrinogen,1,Clotting factor / haemostatic protein,llm,Proteinase Inhibitors
thrombin,1,Clotting factor / haemostatic protein,llm,Proteinase Inhibitors
romiplostim,1,Thrombopoietin receptor agonist,llm,Systemic Heamostatics
rutin,1,Bioflavonoid,llm,Systemic Heamostatics
vitamin d,1,Vitamin D analogue,llm,Systemic Heamostatics
calcium phosphate,1,Calcium supplement,lookup,Systemic Heamostatics
acipimox,1,Lipid-lowering (nicotinic acid derivative),llm,All Other Cholesterol Triglyceride Regulators
becaplermin,1,Growth factor (topical/systemic),llm,Skin Dermal Epidermal Preparations
camostat,1,Serine protease inhibitor,llm,Drugs For Pancreatic Disorder
pepsin,1,Digestive enzyme (pancreatic),lookup,Enzyme Combinations
diastase,1,Digestive enzyme (pancreatic),lookup,Enzyme Combinations
myo-inositol,1,Amino acid / nutritional,llm,Other Gynaecological Products
strontium ranelate,1,Anti-osteoporotic (other),llm,Anti Osteoporotic Products
propyl thiouracil,1,Antithyroid,llm,Anti Thyroid Preparation
arginine,1,Amino acid / nutritional,lookup,Other Anabolic Agents Systemic
l-histidine hydrochloride,1,Amino acid / nutritional,llm,Other Anabolic Agents Systemic
pegaptanib,1,Anti-VEGF (ophthalmic),llm,Ocular Antineovascularisation Products
nartograstim,1,Colony-stimulating factor,llm,Allergens
meglumine diatrizoate,1,Radiographic contrast medium,llm,Radiodiagnostic Agents
sodium diatrizoate,1,Radiographic contrast medium,llm,Radiodiagnostic Agents
halothane,1,General anaesthetic,llm,Anaesthetics General Inhalation
sevoflurane,1,General anaesthetic,llm,Anaesthetics General Inhalation
colfosceril palmitate,1,Pulmonary surfactant,llm,Lung Surfactants
yellow fever virus (live,1,Vaccine,llm,All Other Vaccines
attenuated),1,Vaccine,llm,All Other Vaccines
tetanus immunoglobulin,1,Immunoglobulin / antiserum,llm,Antitoxic Sera
snake venom antiserum,1,Immunoglobulin / antiserum,llm,Antitoxic Sera
human antitetanus immunoglobulin,1,Immunoglobulin / antiserum,llm,Antitoxic Sera
clostridium botulinum type a toxin-haemagglutinin complex,1,Immunoglobulin / antiserum,llm,Antitoxic Sera
thiomersal,1,Preservative / antimicrobial excipient,llm,Combination Of Vaccines
calcium lactate,1,Calcium supplement,lookup,Calcium Others
luvistin,1,Mineral / electrolyte supplement,llm,Calcium Others
chromium,1,Mineral / electrolyte supplement,llm,Other Mineral Supplements
copper,1,Mineral / electrolyte supplement,llm,Other Mineral Supplements
manganese,1,Mineral / electrolyte supplement,llm,Other Mineral Supplements
chromium chloride,1,Mineral / electrolyte supplement,llm,Other Mineral Supplements
copper sulphate,1,Mineral / electrolyte supplement,llm,Other Mineral Supplements
manganese sulphate,1,Mineral / electrolyte supplement,llm,Other Mineral Supplements
selenious acid,1,Mineral / electrolyte supplement,llm,Other Mineral Supplements
calcium pantothenate,1,Vitamin B5 (pantothenic acid),llm,Traditional Antioxidants Multivit Multimineral
