active_ingredient,drug_class,source
tetracaine,Local anaesthetic,seed:pharmacology-reference
tetracycline,Tetracycline,seed:pharmacology-reference
theophylline,Methylxanthine bronchodilator,seed:pharmacology-reference
thiamine,Vitamin B1,seed:pharmacology-reference
thiocolchicoside,Skeletal muscle relaxant,seed:pharmacology-reference
thioridazine,Typical antipsychotic,seed:pharmacology-reference
thyroid extract,Thyroid hormone,seed:pharmacology-reference
thyroxine,Thyroid hormone,seed:pharmacology-reference
tianeptine,Atypical antidepressant,seed:pharmacology-reference
ticagrelor,Antiplatelet (P2Y12 inhibitor),seed:pharmacology-reference
ticlopidine,Antiplatelet (P2Y12 inhibitor),seed:pharmacology-reference
tigecycline,Tetracycline,seed:pharmacology-reference
tinidazole,Nitroimidazole antimicrobial,seed:pharmacology-reference
tiotropium,Antimuscarinic bronchodilator,seed:pharmacology-reference
tizanidine,Skeletal muscle relaxant,seed:pharmacology-reference
tobramycin,Aminoglycoside,seed:pharmacology-reference
tocilizumab,Biologic DMARD (anti-TNF / interleukin),seed:pharmacology-reference
tocopherol,Vitamin E,seed:pharmacology-reference
tocopheryl acetate,Vitamin E,seed:pharmacology-reference
tofacitinib,Immunosuppressant / DMARD,seed:pharmacology-reference
tolcapone,Dopaminergic anti-parkinson,seed:pharmacology-reference
tolperisone,Skeletal muscle relaxant,seed:pharmacology-reference
tolterodine,Overactive bladder agent,seed:pharmacology-reference
topiramate,Antiepileptic,seed:pharmacology-reference
torasemide,Loop diuretic,seed:pharmacology-reference
torsemide,Loop diuretic,seed:pharmacology-reference
tramadol,Opioid analgesic,seed:pharmacology-reference
tramadol hydrochloride,Opioid analgesic,seed:pharmacology-reference
trandolapril,ACE inhibitor,seed:pharmacology-reference
tranexamic acid,Antifibrinolytic / haemostatic,seed:pharmacology-reference
travoprost,Prostaglandin analogue (ophthalmic),seed:pharmacology-reference
trazodone,Atypical antidepressant,seed:pharmacology-reference
tretinoin,Topical retinoid,seed:pharmacology-reference
triamcinolone,Corticosteroid,seed:pharmacology-reference
triamterene,Potassium-sparing diuretic / aldosterone antagonist,seed:pharmacology-reference
tribenoside,Local haemorrhoid preparation,seed:pharmacology-reference
tricholine citrate,Nootropic / neurotrophic,seed:pharmacology-reference
tricholine citrate (appetite),Laxative / appetite / misc GI,seed:pharmacology-reference
trifluoperazine,Typical antipsychotic,seed:pharmacology-reference
trihexyphenidyl,Anticholinergic (anti-parkinson),seed:pharmacology-reference
trimebutine,Prokinetic (dopamine D2 antagonist),seed:pharmacology-reference
trimethoprim,Dihydrofolate reductase inhibitor,seed:pharmacology-reference
trimipramine,Tricyclic antidepressant,seed:pharmacology-reference
triprolidine,Antihistamine (1st generation),seed:pharmacology-reference
trospium,Overactive bladder agent,seed:pharmacology-reference
trypsin,Proteolytic / anti-inflammatory enzyme,seed:pharmacology-reference
trypsin  chymotrypsin,Proteolytic / anti-inflammatory enzyme,seed:pharmacology-reference
trypsin chymotrypsin,Proteolytic / anti-inflammatory enzyme,seed:pharmacology-reference
trypsin-chymotrypsin,Proteolytic / anti-inflammatory enzyme,seed:pharmacology-reference
ubidecarenone,Antioxidant / micronutrient,seed:pharmacology-reference
udenafil,PDE5 inhibitor,seed:pharmacology-reference
umeclidinium,Antimuscarinic bronchodilator,seed:pharmacology-reference
upadacitinib,Immunosuppressant / DMARD,seed:pharmacology-reference
urea (topical),Keratolytic,seed:pharmacology-reference
urokinase,Fibrinolytic,seed:pharmacology-reference
ursodeoxycholic acid,Bile acid,seed:pharmacology-reference
ursodiol,Bile acid,seed:pharmacology-reference
ustekinumab,Biologic DMARD (anti-TNF / interleukin),seed:pharmacology-reference
valacyclovir,Antiviral (nucleoside analogue),seed:pharmacology-reference
valdecoxib,NSAID (COX-2 selective),seed:pharmacology-reference
valganciclovir,Antiviral (nucleoside analogue),seed:pharmacology-reference
valproate,Antiepileptic,seed:pharmacology-reference
valproic acid,Antiepileptic,seed:pharmacology-reference
valsartan,Angiotensin receptor blocker (ARB),seed:pharmacology-reference
vancomycin,Glycopeptide,seed:pharmacology-reference
vardenafil,PDE5 inhibitor,seed:pharmacology-reference
velpatasvir,Antiviral (anti-hepatitis),seed:pharmacology-reference
venlafaxine,SNRI,seed:pharmacology-reference
verapamil,Calcium channel blocker (non-dihydropyridine),seed:pharmacology-reference
vigabatrin,Antiepileptic,seed:pharmacology-reference
vilanterol,Beta-2 agonist (bronchodilator),seed:pharmacology-reference
vildagliptin,DPP-4 inhibitor,seed:pharmacology-reference
vinpocetine,Nootropic / neurotrophic,seed:pharmacology-reference
vitamin a,Vitamin A,seed:pharmacology-reference
vitamin b1,Vitamin B1,seed:pharmacology-reference
vitamin b12,Vitamin B12,seed:pharmacology-reference
vitamin b6,Vitamin B6,seed:pharmacology-reference
vitamin c,Vitamin C,seed:pharmacology-reference
vitamin d2,Vitamin D analogue,seed:pharmacology-reference
vitamin d3,Vitamin D analogue,seed:pharmacology-reference
vitamin e,Vitamin E,seed:pharmacology-reference
vitamin k,Vitamin K,seed:pharmacology-reference
vitamin k1,Vitamin K,seed:pharmacology-reference
voglibose,Alpha-glucosidase inhibitor,seed:pharmacology-reference
voriconazole,Azole antifungal,seed:pharmacology-reference
vortioxetine,Atypical antidepressant,seed:pharmacology-reference
warfarin,Anticoagulant (vitamin K antagonist),seed:pharmacology-reference
white soft paraffin,Emollient / barrier,seed:pharmacology-reference
xylometazoline,Nasal / systemic decongestant (sympathomimetic),seed:pharmacology-reference
zafirlukast,Leukotriene receptor antagonist,seed:pharmacology-reference
zaleplon,Z-drug hypnotic,seed:pharmacology-reference
zanamivir,Antiviral (anti-influenza),seed:pharmacology-reference
zidovudine,Antiretroviral,seed:pharmacology-reference
zinc,Antioxidant / micronutrient,seed:pharmacology-reference
zinc acetate,Electrolyte / rehydration,seed:pharmacology-reference
zinc sulphate,Electrolyte / rehydration,seed:pharmacology-reference
ziprasidone,Atypical antipsychotic,seed:pharmacology-reference
zoledronic acid,Bisphosphonate,seed:pharmacology-reference
zolmitriptan,Triptan (5-HT1B/1D agonist),seed:pharmacology-reference
zolpidem,Z-drug hypnotic,seed:pharmacology-reference
zonisamide,Antiepileptic,seed:pharmacology-reference
zopiclone,Z-drug hypnotic,seed:pharmacology-reference
zuclopenthixol,Typical antipsychotic,seed:pharmacology-reference
