ingredient_clean,occurrences,example_food_id,example_food_name
phosphorus,1,PF-725,Manna Oats Pouch
magnesium,1,PF-725,Manna Oats Pouch
bajra flakes,1,PF-727,Saffola Masala Oats
dried vegetables,1,PF-727,Saffola Masala Oats
jowar flakes,1,PF-727,Saffola Masala Oats
condiments~,1,PF-727,Saffola Masala Oats
chakla,1,PF-728,Kwality Classic Masala Oats - Box
chili extract,1,PF-728,Kwality Classic Masala Oats - Box
instant oats,1,PF-729,Pintola High Protein Oats Dark Chocolate With Almonds Raisin Pumpkin And Chia Seeds
dried fruit,1,PF-730,Yoga Bar Breakfast Cereal & Muesli
blackcurrants,1,PF-730,Yoga Bar Breakfast Cereal & Muesli
dark chocolate powder,1,PF-731,Kellogg's Chocolate Muesli
e1422,1,PF-732,Kissan Fresh Tomato Ketchup
barbeque,1,PF-734,Veeba Smokey Barbeque Sauce
crushed tomato,1,PF-736,Knorr Sauce Pizza and Pasta
diced tomato,1,PF-736,Knorr Sauce Pizza and Pasta
chopped onion,1,PF-736,Knorr Sauce Pizza and Pasta
red chilli puree,1,PF-737,Knorr Red Chilli Sauce
aged red peppers,1,PF-738,Tabasco Red Pepper Sauce
bayleaf,1,PF-739,MasterChow Spicy Sichuan Chilli Oil
sequestrate,1,PF-740,Habanero Herb-Infused Alfredo Style White Pasta Sauce
limr,1,PF-743,Ong's Spring Roll Sauce
fresh spring onion,1,PF-746,Saucery Roasted Garlic And Spring Onion Dip
roasted garlic,1,PF-746,Saucery Roasted Garlic And Spring Onion Dip
mulberry,1,PF-753,Eatopia Mulberry Fruit Honey Jam
blueberries,1,PF-754,Eatopia Mixedberry Honey Jam Spread
mulberries,1,PF-754,Eatopia Mixedberry Honey Jam Spread
strawberries,1,PF-754,Eatopia Mixedberry Honey Jam Spread
basil leaves,1,PF-757,Oetker FunFoods Pesto Italian Sauce
diced jalapeno,1,PF-758,Habanero Jalapeno Cheese Dip
mixed fruit pulp blend,1,PF-761,Kissan Mixed Fruit Jam
pear pulp,1,PF-761,Kissan Mixed Fruit Jam
strawberry pulp,1,PF-764,Sweetmate Sugar Free Strawberry Jam
fruit pectin thickener,1,PF-764,Sweetmate Sugar Free Strawberry Jam
mathani chilli,1,PF-766,ADF Soul Sriracha Dip
bird eye chilli,1,PF-766,ADF Soul Sriracha Dip
edible sunflower oil,1,PF-767,ADF Soul Twisty Tamarind Dip
onion seeds,1,PF-767,ADF Soul Twisty Tamarind Dip
com,1,PF-775,Manna Health Mix- Multigrain Drink For Kids
red rice,1,PF-775,Manna Health Mix- Multigrain Drink For Kids
bread crumb,1,PF-779,Hyfun Burger Patty
dehydrated white onion powder,1,PF-779,Hyfun Burger Patty
batter mix,1,PF-781,ITC Master Chef Crispy Onion Rings
coating batter,1,PF-781,ITC Master Chef Crispy Onion Rings
maize flour,1,PF-782,Hyfun Jalapeno Cheesy Pops
frozen american sweet corn,1,PF-782,Hyfun Jalapeno Cheesy Pops
diced green jalapeno,1,PF-782,Hyfun Jalapeno Cheesy Pops
chilled water,1,PF-782,Hyfun Jalapeno Cheesy Pops
black olives,1,PF-785,Prasuma Pizza Minis - Veg Supreme
pizza base,1,PF-786,Prasuma Pizza Minis - Paneer Tikka
toppings,1,PF-786,Prasuma Pizza Minis - Paneer Tikka
pizza sauce,1,PF-786,Prasuma Pizza Minis - Paneer Tikka
16c,1,PF-790,Prasuma Bao Buns - Veg Pizza
thai chilli paste,1,PF-794,Prasuma Chilli Prawn Momos
vegetable palm,1,PF-797,Prasuma Chocolate Burst Bao Buns
pork meat,1,PF-798,Prasuma Original Pork Momos
amchor powder,1,PF-801,Prasuma Spiced Aloo Mini Samosa
chicken keema,1,PF-802,Prasuma Chicken Mini Samosa
makhani gravy,1,PF-802,Prasuma Chicken Mini Samosa
microbial veg,1,PF-804,Mooz Mozzarella & Cheddar Pizza Cheese
rennet,1,PF-804,Mooz Mozzarella & Cheddar Pizza Cheese
carbo bean gum,1,PF-808,Cremeitalia Sour Cream
peel cut,1,PF-811,English Oven Fruit Bread
condiments or their extracts,1,PF-811,English Oven Fruit Bread
lactic cultures,1,PF-812,Milky Mist Greek Yogurt
rose-lychee preparation,1,PF-813,Hatsun Fruit Yoghurt Rose And Lychee
black carrot concentrate,1,PF-813,Hatsun Fruit Yoghurt Rose And Lychee
blueberry puree,1,PF-814,Hatsun Yogurt Drink Blueberry
blueberry juice concentrate,1,PF-814,Hatsun Yogurt Drink Blueberry
active lactic culture,1,PF-815,Milky Mist Fruit Yogurt Strawberry
l bacillus delbrueckii subsp bulgaricus,1,PF-815,Milky Mist Fruit Yogurt Strawberry
s thermophilus,1,PF-815,Milky Mist Fruit Yogurt Strawberry
fruit content,1,PF-815,Milky Mist Fruit Yogurt Strawberry
from strawberry preparation,1,PF-815,Milky Mist Fruit Yogurt Strawberry
strawberry pieces,1,PF-815,Milky Mist Fruit Yogurt Strawberry
natural - identical flavoring substances - strawberry,1,PF-815,Milky Mist Fruit Yogurt Strawberry
chocolate sauce,1,PF-817,Arun Chocolate Ice Cream Tub
chocolate chip,1,PF-817,Arun Chocolate Ice Cream Tub
nature-identical flavoring substances,1,PF-818,Arun Pista Ice Cream Tub
isomaltulose,1,PF-821,Go Zero Roasted Almond Low Calorie Guilt Free Ice Cream Tub
stabilising agents,1,PF-822,Go Zero Mad Over Mango Low Calorie Guilt Free Ice Cream Tub
dried californian cranberry,1,PF-823,NIC Mixed Berries Ice Cream Tub
dried californian blueberry,1,PF-823,NIC Mixed Berries Ice Cream Tub
processed strawberry,1,PF-823,NIC Mixed Berries Ice Cream Tub
blackcurrant fruit,1,PF-825,Dairy Day Black Currant Ice Cream Tub
natural blackcurrant flavouring substances,1,PF-825,Dairy Day Black Currant Ice Cream Tub
added artificial vanilla cake flavouring substance,1,PF-827,Kwality Wall's Cadbury Crackle Tub
salted,1,PF-827,Kwality Wall's Cadbury Crackle Tub
e1400,1,PF-827,Kwality Wall's Cadbury Crackle Tub
chocolate confectionery,1,PF-827,Kwality Wall's Cadbury Crackle Tub
oreo biscuit - crushed,1,PF-828,Kwality Wall's Oreo And Cream Tub
chocolate topping,1,PF-830,Amul Chocolate Magic Sundae Ice Cream Tub
orange jelly,1,PF-831,Amul Fruit N Nut Fantasy Ice Cream Tub
kesar elaichi,1,PF-831,Amul Fruit N Nut Fantasy Ice Cream Tub
chocolate crush,1,PF-832,NIC Chocochips Ice Cream Tub
bodying agent,1,PF-836,London Dairy Choco Brownie Delight Ice Cream Tub
figs,1,PF-837,Havmor Taj Mahal Ice Cream Tub
nature identical flavouring substances-dulce de leche,1,PF-838,Milkymist Dulce De Leche Tub
outer coating,1,PF-840,Arun Ibar Mini Almond Crunch Ice Cream Stick
stevia outer layer,1,PF-841,Go Zero Hazelnut Chocolate Low Calorie Guilt Free Ice Cream Bar
chocolate paste,1,PF-841,Go Zero Hazelnut Chocolate Low Calorie Guilt Free Ice Cream Bar
chocolate frozen dessert,1,PF-842,Dairy Day New Triple Bar Ice Cream Stick
chocolate stick,1,PF-844,Amul Gold Frostik Ice Cream Stick
outer layer - choco layer coating,1,PF-844,Amul Gold Frostik Ice Cream Stick
chocolate fudge,1,PF-845,Hocco Choco Brownie Ice Cream Tub
natural vanilla cake flavour,1,PF-845,Hocco Choco Brownie Ice Cream Tub
pko,1,PF-845,Hocco Choco Brownie Ice Cream Tub
nature identical vanillin flavouring substances,1,PF-845,Hocco Choco Brownie Ice Cream Tub
stevia raspberry ice candy layer,1,PF-846,Go Zero Raspberry Duet Low Calorie Guilt Free Ice Cream Stick
raspberry pulp,1,PF-846,Go Zero Raspberry Duet Low Calorie Guilt Free Ice Cream Stick
glazed fruits,1,PF-852,Kwality Walls Cassata
